Sampl,LogLik
0,-312.15971454519376
1024,-353.66707636513183
2048,-350.8534835186497
3072,-326.9330154642398
4096,-324.9996899009634
5120,-328.74935147645556
6144,-341.28007097856744
7168,-325.56182144683726
8192,-323.7394876813455
9216,-332.42905966857643
10240,-323.17049731337056
11264,-319.2219664444083
12288,-358.51387369380245
13312,-329.33776766974916
14336,-332.20362915026
15360,-346.06719528251597
16384,-333.0088850660859
17408,-339.734624883532
18432,-346.97248327364605
19456,-326.08021714675033
20480,-349.99165216262236
21504,-342.06913088884494
22528,-328.886201132374
23552,-345.1626326517062
24576,-356.9849047378766
25600,-327.21450676328277
26624,-357.68978264364796
27648,-346.1928080434882
28672,-331.98618475231933
29696,-330.1304769298449
30720,-327.6565766850963
31744,-336.7655269830625
32768,-342.3331048723621
33792,-342.64319895649123
34816,-321.25988462354144
35840,-333.44004026596576
36864,-336.1079760964026
37888,-330.02307936780016
38912,-320.5146022608501
39936,-328.3068630818375
40960,-326.87291339403464
41984,-314.1250893585034
43008,-326.7350184997654
44032,-342.379408904334
45056,-315.3557450051635
46080,-341.523458517338
47104,-304.88194252385665
48128,-338.94139174455177
49152,-323.8504878259914
50176,-350.01361298221127
51200,-323.0063079923384
52224,-339.37630123681674
53248,-345.0945935712243
54272,-327.33948191910076
55296,-323.0075653382187
56320,-348.0539816961773
57344,-338.15629157339754
58368,-351.5597274439515
59392,-331.7165077321133
60416,-337.075737433619
61440,-330.7026591899207
62464,-335.1350835210419
63488,-329.5123471505726
64512,-339.583851315042
65536,-334.39176031466604
66560,-352.1305481434183
67584,-297.9345752079198
68608,-318.8760855839646
69632,-347.6074895222987
70656,-322.98893758137456
71680,-318.1959003960246
72704,-321.3451424480759
73728,-340.6673991762332
74752,-346.98638507518217
75776,-336.44931015481234
76800,-351.8714174096899
77824,-348.96054046960217
78848,-338.30412176316304
79872,-351.05134282101835
80896,-348.3519875599195
81920,-334.04289487952974
82944,-330.61371692815464
83968,-335.81147865879893
84992,-342.3683420944503
86016,-352.01715160828553
87040,-342.42637528861724
88064,-329.7101670842135
89088,-328.62390858646313
90112,-324.2814974816474
91136,-340.20481967452406
92160,-340.62462419816666
93184,-332.7002276517387
94208,-342.855633094297
95232,-321.1335707640378
96256,-346.97668973973214
97280,-332.03952169218655
98304,-329.171778342823
99328,-332.91764523826214
100352,-337.2212522113082
101376,-339.95915020108805
102400,-329.25652864725953
103424,-324.6779749235393
104448,-339.2405121222273
105472,-332.5283985975211
106496,-336.55967149206344
107520,-328.3113280839907
108544,-335.2449846831396
109568,-318.9631775113671
110592,-353.849740756576
111616,-346.94523592538326
112640,-339.48155563314003
113664,-350.30033318225605
114688,-319.5582622412321
115712,-339.400597736073
116736,-329.76227831991355
117760,-334.6256570732512
118784,-329.38200430117877
119808,-329.65934555598005
120832,-322.87610542647917
121856,-208.76295496430703
122880,-341.2253194997579
123904,-321.429187714838
124928,-323.6759366109186
125952,-330.3195222705376
126976,-331.9069173907942
128000,-336.7669184830247
129024,-306.4921042275796
130048,-349.23979757217967
131072,-329.34186222056405
